Rk,Team,Overall,Home,Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,All-Star Post,Margin 3,Margin 10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Cleveland Cavaliers,8-0,4-0,4-0,7-0,1-0,2-0,3-0,2-0,0-0,1-0,0-0,2-0,5-0,5-0,3-0,0-0,0-0,0-0,0-0,0-0
2,Boston Celtics,7-1,2-0,5-1,7-1,0-0,1-0,2-1,4-0,0-0,0-0,0-0,0-1,6-0,4-1,3-0,0-0,0-0,0-0,0-0,0-0
3,Oklahoma City Thunder,7-0,3-0,4-0,3-0,4-0,0-0,1-0,2-0,2-0,1-0,1-0,0-0,7-0,4-0,3-0,0-0,0-0,0-0,0-0,0-0
4,Golden State Warriors,6-1,2-1,4-0,1-0,5-1,0-0,0-0,1-0,2-0,0-1,3-0,0-0,5-0,4-1,2-0,0-0,0-0,0-0,0-0,0-0
5,Phoenix Suns,6-1,4-0,2-1,1-0,5-1,1-0,0-0,0-0,1-0,3-1,1-0,2-0,1-0,4-1,2-0,0-0,0-0,0-0,0-0,0-0
6,Brooklyn Nets,4-4,3-2,1-2,2-3,2-1,0-0,2-1,0-2,0-1,0-0,2-0,1-0,2-2,2-3,2-1,0-0,0-0,0-0,0-0,0-0
7,Dallas Mavericks,4-3,3-2,1-1,1-1,3-2,0-0,0-1,1-0,2-0,0-1,1-1,0-0,2-1,3-2,1-1,0-0,0-0,0-0,0-0,0-0
8,Denver Nuggets,4-3,2-2,2-1,3-0,1-3,3-0,0-0,0-0,1-2,0-1,0-0,2-1,1-1,2-2,2-1,0-0,0-0,0-0,0-0,0-0
9,Houston Rockets,4-3,2-2,2-1,1-1,3-2,1-0,0-0,0-1,0-0,0-1,3-1,0-1,2-0,3-2,1-1,0-0,0-0,0-0,0-0,0-0
10,Los Angeles Lakers,4-3,3-0,1-3,1-2,3-1,1-0,0-2,0-0,1-0,2-1,0-0,0-0,0-2,3-2,1-1,0-0,0-0,0-0,0-0,0-0
11,Memphis Grizzlies,4-4,2-2,2-2,3-3,1-1,1-2,1-1,1-0,1-0,0-0,0-1,1-2,3-2,3-3,1-1,0-0,0-0,0-0,0-0,0-0
12,Minnesota Timberwolves,4-3,3-1,1-2,2-0,2-3,1-0,0-0,1-0,1-0,1-1,0-2,2-0,2-1,2-2,2-1,0-0,0-0,0-0,0-0,0-0
13,Sacramento Kings,4-3,1-1,3-2,2-1,2-2,0-1,0-0,2-0,2-1,0-1,0-0,1-2,2-0,2-2,2-1,0-0,0-0,0-0,0-0,0-0
14,Atlanta Hawks,3-5,2-3,1-2,2-3,1-2,1-1,0-0,1-2,0-1,0-1,1-0,0-1,1-3,2-3,1-2,0-0,0-0,0-0,0-0,0-0
15,Chicago Bulls,3-4,1-2,2-2,2-1,1-3,0-1,1-0,1-0,0-2,0-0,1-1,2-0,1-2,3-2,0-2,0-0,0-0,0-0,0-0,0-0
16,Detroit Pistons,3-5,1-3,2-2,2-5,1-0,2-2,0-2,0-1,0-0,1-0,0-0,0-0,3-2,1-4,2-1,0-0,0-0,0-0,0-0,0-0
17,Indiana Pacers,3-4,1-1,2-3,2-3,1-1,1-2,1-0,0-1,0-0,0-0,1-1,1-0,0-1,2-3,1-1,0-0,0-0,0-0,0-0,0-0
18,Los Angeles Clippers,3-4,1-4,2-0,0-0,3-4,0-0,0-0,0-0,1-2,1-2,1-0,0-2,0-1,2-3,1-1,0-0,0-0,0-0,0-0,0-0
19,Miami Heat,3-3,1-3,2-0,3-2,0-1,0-1,1-0,2-1,0-0,0-1,0-0,0-1,1-1,2-2,1-1,0-0,0-0,0-0,0-0,0-0
20,New Orleans Pelicans,3-5,2-2,1-3,2-1,1-4,0-0,2-0,0-1,1-2,0-2,0-0,1-0,1-5,2-3,1-2,0-0,0-0,0-0,0-0,0-0
21,New York Knicks,3-3,1-1,2-2,3-2,0-1,0-1,2-1,1-0,0-0,0-0,0-1,0-0,2-2,2-2,1-1,0-0,0-0,0-0,0-0,0-0
22,Orlando Magic,3-5,2-0,1-5,3-2,0-3,1-0,1-2,1-0,0-1,0-0,0-2,0-1,2-4,3-2,0-3,0-0,0-0,0-0,0-0,0-0
23,Portland Trail Blazers,3-5,1-3,2-2,0-0,3-5,0-0,0-0,0-0,0-1,1-3,2-1,1-1,2-3,2-3,1-2,0-0,0-0,0-0,0-0,0-0
24,San Antonio Spurs,3-4,2-1,1-3,0-0,3-4,0-0,0-0,0-0,2-1,0-1,1-2,1-0,2-2,2-3,1-1,0-0,0-0,0-0,0-0,0-0
25,Charlotte Hornets,2-5,1-3,1-2,1-4,1-1,1-2,0-0,0-2,0-1,0-0,1-0,0-0,0-3,2-2,0-3,0-0,0-0,0-0,0-0,0-0
26,Toronto Raptors,2-6,2-3,0-3,1-2,1-4,1-0,0-1,0-1,0-3,1-1,0-0,1-2,0-2,1-4,1-2,0-0,0-0,0-0,0-0,0-0
27,Washington Wizards,2-4,1-4,1-0,2-3,0-1,0-1,0-1,2-1,0-0,0-1,0-0,1-0,1-4,2-2,0-2,0-0,0-0,0-0,0-0,0-0
28,Milwaukee Bucks,1-6,0-2,1-4,1-5,0-1,1-2,0-3,0-0,0-0,0-0,0-1,0-2,1-4,1-4,0-2,0-0,0-0,0-0,0-0,0-0
29,Philadelphia 76ers,1-5,0-3,1-2,1-3,0-2,0-1,1-2,0-0,0-0,0-1,0-1,0-1,0-3,1-3,0-2,0-0,0-0,0-0,0-0,0-0
30,Utah Jazz,1-6,0-4,1-2,1-0,0-6,0-0,1-0,0-0,0-1,0-2,0-3,0-1,0-4,0-5,1-1,0-0,0-0,0-0,0-0,0-0
